name,algorithm,is_depends,coin_url,github_link,miners,market_cap,volume,circulating_supply,emission
Zephyr,CPU - RandomX Variants,false,https://miningpoolstats.stream/zephyr,https://github.com/ZephyrProtocol/Zephyr,18043,72.5M ,4.09M ,2.48M,8676 ZEPH ( 253.3K  )
Cortex,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/cortex,https://github.com/CortexFoundation/CortexTheseus,1753,68.01M ,24.76M ,216.85M / 299.79M (72.3%),23476 CTXC ( 7.36K  )
Nexa,GPU - ProgPoW | Cuckoo,false,https://miningpoolstats.stream/nexa,https://gitlab.com/nexa/nexa,19317,57.3M ,1.5M ,0 / 4.18T (0.0%),?
Verge,ASIC - Scrypt,true,https://miningpoolstats.stream/verge-scrypt,https://github.com/vergecurrency/verge,5,,,16.52B / 16.56B (99.8%),?
Verge,ASIC - Lyra2REv2,true,https://miningpoolstats.stream/verge-lyra,https://github.com/vergecurrency/verge,2,56.82M ,2.84M ,16.52B / 16.56B (99.8%),?
Verge,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/verge-groestl,https://github.com/vergecurrency/verge,0,56.82M ,2.84M ,16.52B / 16.56B (99.8%),?
Verge,GPU - X21S | X17 | X15 | X14 | X13,true,https://miningpoolstats.stream/verge-x17,https://github.com/vergecurrency/verge,0,56.82M ,2.84M ,16.52B / 16.56B (99.8%),?
Verge,GPU - Blake2S | Blake2B | Keccak,true,https://miningpoolstats.stream/verge-blake2s,https://github.com/vergecurrency/verge,1,56.82M ,2.84M ,16.52B / 16.56B (99.8%),?
Clore,GPU - KawPow,false,https://miningpoolstats.stream/clore,https://gitlab.com/cloreai-public/blockchain,6228,49.91M ,10.6M ,222.29M / 1.3B (17.1%),?
Groestlcoin,ASIC - Groestl | Qubit | Skein | Quark,true,https://miningpoolstats.stream/groestlcoin,https://github.com/Groestlcoin/groestlcoin,1791,49.38M ,6.17M ,83.92M / 105M (79.9%),6865 GRS ( 4.04K  )
Dero,CPU - Various Algo,false,https://miningpoolstats.stream/dero,https://github.com/deroproject/derosuite,1574,47.93M ,9.91K ,14.1M / 18.4M (76.6%),2794 DERO ( 9.5K  )
